Num,Rail 1,Rail 2
0,12.75,12.5
1,12.75,12.5
2,12.78,12.5
3,12.78,12.47
4,12.78,12.47
5,12.81,12.47
6,12.84,12.47
7,12.81,12.47
8,12.81,12.47
9,12.81,12.47
10,12.81,12.47
11,12.81,12.47
12,12.81,12.5
13,12.75,12.47
14,12.75,12.47
15,12.78,12.5
16,12.78,12.5
17,12.78,12.47
18,12.81,12.47
19,12.84,12.47
20,12.81,12.5
21,12.81,12.53
22,12.81,12.47
23,12.81,12.47
24,12.81,12.53
25,12.81,12.47
26,12.84,12.47
27,12.84,12.47
28,12.84,12.5
29,12.84,12.5
30,12.84,12.53
31,12.84,12.53
32,12.81,12.5
33,12.84,12.47
34,12.84,12.47
35,12.81,12.58
36,12.75,12.53
37,12.78,12.55
38,12.81,12.53
39,12.78,12.53
40,12.75,12.5
41,12.78,12.5
42,12.81,12.5
43,12.78,12.5
44,12.78,12.58
45,12.78,12.53
46,12.78,12.55
47,12.78,12.58
48,12.78,12.61
49,12.78,12.55
50,12.78,12.55
51,12.78,12.58
52,12.78,12.61
53,12.78,12.5
54,12.81,12.5
55,12.81,12.53
56,12.81,12.53
57,12.81,12.53
58,12.78,12.53
59,12.75,12.61
60,12.73,12.55
61,12.73,12.53
62,12.75,12.53
63,12.73,12.58
64,12.73,12.55
65,12.73,12.53
66,12.73,12.55
67,12.73,12.58
68,12.73,12.58
69,12.75,12.55
70,12.73,12.55
71,12.73,12.58
72,12.73,12.55
73,12.75,12.55
74,12.73,12.55
75,12.73,12.58
76,12.73,12.55
77,12.75,12.55
78,12.75,12.58
79,12.73,12.58
80,12.73,12.55
81,12.75,12.55
82,12.73,12.58
83,12.73,12.73
84,12.73,12.58
85,12.75,12.55
86,12.73,12.58
87,12.73,12.64
88,12.73,12.58
89,12.75,12.55
90,12.75,12.58
91,12.73,12.61
92,12.73,12.58
93,12.75,12.58
94,12.73,12.64
95,12.73,12.61
96,12.73,12.58
97,12.75,12.61
98,12.73,12.61
99,12.73,12.61
100,12.75,12.61
101,12.75,12.61
102,12.73,12.64
103,12.73,12.64
104,12.73,12.61
105,12.75,12.61
106,12.73,12.64
107,12.73,12.64
108,12.73,12.7
109,12.75,12.64
110,12.73,12.67
111,12.73,12.67
112,12.73,12.67
113,12.75,12.67
114,12.73,12.67
115,12.73,12.64
116,12.73,12.64
117,12.75,12.61
118,12.73,12.64
119,12.73,12.64
120,12.73,12.61
121,12.75,12.7
122,12.73,12.64
123,12.73,12.64
124,12.75,12.73
125,12.75,12.64
126,12.73,12.67
127,12.73,12.67
128,12.75,12.64
129,12.73,12.64
130,12.73,12.67
131,12.73,12.67
132,12.73,12.64
133,12.73,12.67
134,12.73,12.67
135,12.73,12.67
136,12.73,12.67
137,12.73,12.67
138,12.73,12.67
139,12.73,12.64
140,12.73,12.64
141,12.73,12.67
142,12.73,12.7
143,12.73,12.7
144,12.73,12.67
145,12.75,12.67
146,12.73,12.67
147,12.75,12.67
148,12.75,12.64
149,12.75,12.67
150,12.73,12.7
151,12.73,12.7
152,12.75,12.67
153,12.78,12.67
154,12.73,12.7
155,12.73,12.67
156,12.73,12.67
157,12.73,12.67
158,12.73,12.7
159,12.73,12.7
160,12.73,12.67
161,12.73,12.7
162,12.73,12.7
163,12.73,12.73
164,12.75,12.73
165,12.73,12.75
166,12.73,12.75
167,12.73,12.73
168,12.75,12.73
169,12.73,12.75
170,12.73,12.75
171,12.73,12.73
172,12.75,12.7
173,12.73,12.73
174,12.73,12.73
175,12.73,12.7
176,12.73,12.7
177,12.73,12.7
178,12.73,12.73
179,12.73,12.73
180,12.73,12.73
181,12.73,12.73
182,12.7,12.73
183,12.73,12.7
184,12.73,12.67
185,12.73,12.7
186,12.73,12.73
187,12.73,12.73
188,12.75,12.73
189,12.73,12.75
190,12.73,12.78
191,12.73,12.75
192,12.73,12.73
193,12.73,12.75
194,12.7,12.75
195,12.73,12.75
196,12.73,12.75
197,12.73,12.75
198,12.73,12.75
199,12.73,12.73
200,12.73,12.73
201,12.73,12.73
202,12.73,12.73
203,12.73,12.73
204,12.73,12.75
205,12.73,12.75
206,12.73,12.75
207,12.73,12.73
208,12.73,12.73
209,12.73,12.75
210,12.73,12.75
211,12.73,12.73
212,12.75,12.75
213,12.7,12.75
214,12.73,12.75
215,12.73,12.75
216,12.73,12.75
217,12.73,12.75
218,12.73,12.75
219,12.73,12.73
220,12.73,12.73
221,12.7,12.75
222,12.73,12.73
223,12.75,12.73
224,12.73,12.73
225,12.7,12.75
